Date,Close,Close,Close,Close,Close
2024-03-21,507.7600,178.1500,171.3700,622.7100,147.6000
2024-03-20,505.5200,178.1500,178.6700,627.6900,148.7400
2024-03-19,496.2400,175.9000,176.0800,620.7400,147.0300
2024-03-18,496.9800,174.4800,173.7200,618.3900,147.6800
2024-03-15,484.1000,174.4200,172.6200,605.8800,141.1800
2024-03-14,491.8300,178.7500,173.0000,613.0100,143.1000
2024-03-13,495.5700,176.5550,171.1300,609.4500,139.7900
2024-03-12,499.7500,175.3900,173.2300,611.0800,138.5000
2024-03-11,483.5900,171.9600,172.7500,600.9300,137.6700
2024-03-08,505.9500,175.3500,170.7300,604.8200,135.4100
2024-03-07,512.1900,176.8200,169.0000,608.5100,134.3800
2024-03-06,496.0900,173.5100,169.1200,597.6900,131.4000
2024-03-05,490.2200,174.1200,170.1200,598.5000,132.6700
2024-03-04,498.1900,177.5800,175.1000,615.8300,133.3500
2024-03-01,502.3000,178.2200,179.6600,619.3400,137.1400
2024-02-29,490.1300,176.7600,180.7500,602.9200,138.4600
2024-02-28,484.0200,173.1600,181.4200,596.4800,136.3800
2024-02-27,487.0500,173.5400,182.6300,601.6700,138.8800
2024-02-26,481.7400,174.7300,181.1600,587.6500,137.5700
2024-02-23,484.0300,174.9900,182.5200,583.5600,143.9600
2024-02-22,486.1300,174.5800,184.3700,588.4700,144.0900
2024-02-21,468.0300,168.5900,182.3200,573.3500,142.5500
2024-02-20,471.7500,167.0800,181.5600,575.1300,141.1200
2024-02-16,473.3200,169.5100,182.3100,583.9500,140.5200
2024-02-15,484.0300,169.8000,183.8600,593.4600,142.7700
2024-02-14,473.2800,170.9800,184.1500,579.3300,145.9400
2024-02-13,460.1200,168.6400,185.0400,554.5200,145.1400
2024-02-12,468.9000,172.3400,187.1500,557.8500,147.5300
2024-02-09,468.1100,174.4500,188.8500,561.3200,149.0000
2024-02-08,470.0000,169.8400,188.3200,558.5300,145.9100
2024-02-07,469.5900,170.5300,189.4100,559.3000,145.5400
2024-02-06,454.7200,169.1500,189.3000,555.8800,144.1000
2024-02-05,459.4100,170.3100,187.6800,562.0600,143.6800
2024-02-02,474.9900,171.8100,185.8500,564.6400,142.3800
2024-02-01,394.7800,159.2800,186.8600,567.5100,141.1600
2024-01-31,390.1400,155.2000,184.4000,564.1100,140.1000
2024-01-30,400.0600,159.0000,188.0400,562.8500,151.4600
2024-01-29,401.0200,161.2600,191.7300,575.7900,153.5100
2024-01-26,394.1400,159.1200,192.4200,570.4200,152.1850
2024-01-25,393.1800,157.7500,194.1700,562.0000,151.8700
2024-01-24,390.7000,156.8700,194.5000,544.8700,148.7000
2024-01-23,385.2000,156.0200,195.1800,492.1900,147.0400
2024-01-22,381.7800,154.7800,193.8900,485.7100,145.9900
2024-01-19,383.4500,155.3400,191.5600,482.9500,146.3800
2024-01-18,376.1300,153.5000,188.6300,485.3100,143.4800
2024-01-17,368.3700,151.7100,182.6800,480.3300,141.4700
2024-01-16,367.4600,153.1600,183.6300,481.2400,142.4900
2024-01-12,374.4900,154.6200,185.9200,492.1600,142.6500
2024-01-11,369.6700,155.1800,185.5900,492.2300,142.0800
2024-01-10,370.4700,153.7300,186.1900,478.3300,142.2800
2024-01-09,357.4300,151.3700,185.1400,482.0900,140.9500
2024-01-08,358.6600,149.1000,185.5600,485.0300,138.8400
2024-01-05,351.9500,145.2400,181.1800,474.0600,135.7300
2024-01-04,347.1200,144.5700,181.9100,474.6700,136.3900
2024-01-03,344.4700,148.4700,184.2500,470.2600,138.9200
2024-01-02,346.2900,149.9300,185.6400,468.5000,138.1700
2023-12-29,353.9600,151.9400,192.5300,486.8800,139.6900
2023-12-28,358.3200,153.3800,193.5800,490.5100,140.2300
2023-12-27,357.8300,153.3400,193.1500,491.7900,140.3700
2023-12-26,354.8300,153.4100,193.0500,491.1900,141.5200
2023-12-22,353.3900,153.4200,193.6000,486.7600,141.4900
2023-12-21,354.0900,153.8400,194.6800,491.6100,140.4200
2023-12-20,349.2800,152.1200,194.8300,489.2700,138.3400
2023-12-19,350.3600,153.7900,196.9400,495.0200,136.6500
2023-12-18,344.6200,154.0700,195.8900,486.1200,135.8000
2023-12-15,334.9200,149.9700,197.5700,472.0600,132.6000
2023-12-14,333.1700,147.4200,198.1100,469.8300,131.9400
2023-12-13,334.7400,148.8400,197.9600,479.9800,132.5700
2023-12-12,334.2200,147.4800,194.7100,463.0000,132.5200
2023-12-11,325.2800,145.8900,193.1800,459.8900,133.2900
2023-12-08,332.7500,147.4200,195.7100,453.7600,134.9900
2023-12-07,326.5900,146.8800,194.2700,452.0000,136.9300
2023-12-06,317.4500,144.5200,192.3200,446.7300,130.0200
2023-12-05,318.2900,146.8800,193.4200,455.1500,130.9900
2023-12-04,320.0200,144.8400,189.4300,453.9000,129.2700
2023-12-01,324.8200,147.0300,191.2400,465.7400,131.8600
2023-11-30,327.1500,146.0900,189.9500,473.9700,132.5300
2023-11-29,332.2000,146.3200,189.3700,477.1900,134.9900
2023-11-28,338.9900,147.0300,190.4000,479.0000,137.2000
2023-11-27,334.7000,147.7300,189.7900,479.1700,136.4100
2023-11-24,338.2300,146.7400,189.9700,479.5600,136.6900
2023-11-22,341.4900,146.7100,191.3100,478.0000,138.4900
2023-11-21,336.9800,143.9000,190.6400,474.9500,136.9700
2023-11-20,339.9700,146.1300,191.4500,474.4700,136.2500
2023-11-17,335.0400,145.1800,189.6900,465.9100,135.3100
2023-11-16,334.1900,142.8300,189.7100,466.9500,136.9300
2023-11-15,332.7100,143.2000,188.0100,461.9400,134.6200
2023-11-14,336.3100,145.8000,187.4400,448.6500,133.6200
2023-11-13,329.1900,142.5900,184.8000,444.6200,132.0900
2023-11-10,328.7700,143.5600,186.4000,447.2400,132.5900
2023-11-09,320.5500,140.6000,182.4100,435.1500,130.2400
2023-11-08,319.7800,142.0800,182.8900,436.6500,131.8400
2023-11-07,318.8200,142.7100,181.8200,434.6100,130.9700
2023-11-06,315.8000,139.7400,179.2300,434.7400,130.2500
2023-11-03,314.6000,138.6000,176.6500,432.3600,129.1000
2023-11-02,310.8700,138.0700,177.5700,424.7100,127.4900
2023-11-01,311.8500,137.0000,173.9700,420.1900,126.4500
2023-10-31,301.2700,133.0900,170.7700,411.6900,124.0800
2023-10-30,302.6600,132.7100,170.2900,410.0800,124.4600
2023-10-27,296.7300,127.7400,168.2200,397.8700,122.1700
2023-10-26,288.3500,119.5700,166.8900,403.5400,122.2800
2023-10-25,299.5300,121.3900,171.1000,411.2500,125.6100
2023-10-24,312.5500,128.5600,173.4400,413.7300,138.8100
2023-10-23,314.0100,126.5600,173.0000,406.8400,136.5000
2023-10-20,308.6500,125.1700,172.8800,400.9600,135.6000
2023-10-19,312.8100,128.4000,175.4600,401.7700,137.7500
2023-10-18,316.9700,128.1300,175.8400,346.1900,137.9600
2023-10-17,324.0000,131.4700,177.1500,355.7200,139.7200
2023-10-16,321.1500,132.5500,178.7200,360.8200,139.0950
2023-10-13,314.6900,129.7900,178.8500,355.6800,137.3600
2023-10-12,324.1600,132.3300,180.7100,361.2000,138.9700
2023-10-11,327.8200,131.8300,179.8000,365.9300,140.5500
2023-10-10,321.8400,129.4800,178.3900,373.3200,138.0600
2023-10-09,318.3600,128.2600,178.9900,385.9500,138.4200
2023-10-06,315.4300,127.9600,177.4900,381.5100,137.5800
2023-10-05,304.7900,125.9600,174.9100,372.5900,135.0700
2023-10-04,305.5800,127.0000,173.6600,376.9000,135.2400
2023-10-03,300.9400,124.7200,172.4000,376.7500,132.4300
2023-10-02,306.8200,129.4600,173.7500,380.3300,134.1700
2023-09-29,300.2100,127.1200,171.2100,377.6000,130.8600
2023-09-28,303.9600,125.9800,170.6900,376.3600,132.3100
2023-09-27,297.7400,125.9800,170.4300,377.5900,130.5400
2023-09-26,298.9600,125.9800,171.9600,379.2500,128.5650
2023-09-25,300.8300,131.2700,176.0800,384.8000,131.1100
2023-09-22,299.0800,129.1200,174.7900,379.8100,130.2500
2023-09-21,295.7300,129.3300,173.9300,384.1500,130.4400
2023-09-20,299.6700,135.2900,175.4900,386.3000,133.7400
2023-09-19,305.0700,137.6300,179.0700,396.2000,138.0400
2023-09-18,302.5500,139.9800,177.9700,394.4000,138.2100
2023-09-15,300.3100,140.3900,175.0100,396.9400,137.4000
2023-09-14,311.7200,144.7200,175.7400,400.4900,138.1000
2023-09-13,305.0600,144.8500,174.2100,412.2400,136.7100
2023-09-12,301.6600,141.2300,176.3000,434.6900,135.3400
2023-09-11,307.5600,143.1000,179.3600,445.3600,136.9200
2023-09-08,297.8900,138.2300,178.1800,442.8000,136.3800
2023-09-07,298.6700,137.8500,177.5600,443.1400,135.2600
2023-09-06,299.1700,135.3600,182.9100,445.7600,134.4600
2023-09-05,300.1500,137.2700,189.7000,448.6800,135.7700
2023-09-01,296.3800,138.1200,189.4600,439.8800,135.6600
2023-08-31,295.8900,138.0100,187.8700,433.6800,136.1700
2023-08-30,295.1000,135.0700,187.6500,434.6700,135.8800
2023-08-29,297.9900,134.9100,184.1200,429.9900,134.5700
2023-08-28,290.2600,133.1400,180.1900,418.0600,131.0100
2023-08-25,285.5000,133.2600,178.6100,416.0300,129.8800
2023-08-24,286.7500,131.8400,176.3800,406.9300,129.7800
2023-08-23,294.2400,135.5200,181.1200,427.5500,132.3700
2023-08-22,287.6000,134.2500,177.2300,413.1700,129.0800
2023-08-21,289.9000,134.6800,175.8400,408.2900,128.3700
2023-08-18,283.2500,133.2200,174.4900,404.5300,127.4600
2023-08-17,285.0900,133.9800,174.0000,403.0000,129.9200
2023-08-16,294.2900,135.0700,176.5700,415.4500,128.7000
2023-08-15,301.9500,137.6700,177.4500,423.7000,129.7800
2023-08-14,306.1900,140.5700,179.4600,427.7800,131.3300
2023-08-11,301.6400,138.4100,177.7900,421.6600,129.5600
2023-08-10,305.7400,138.5600,177.9700,429.9800,129.6900
2023-08-09,305.2100,137.8500,178.1900,428.9000,129.6600
2023-08-08,312.6400,139.9400,179.8000,438.3000,131.4000
2023-08-07,316.5600,142.2200,178.8500,440.7600,131.5300
2023-08-04,310.7300,139.5700,181.9900,431.6000,128.1100
2023-08-03,313.1900,128.9100,191.1700,431.0000,128.4500
2023-08-02,314.3100,128.2100,192.5800,429.7000,128.3800
2023-08-01,322.7100,131.6900,195.6050,438.6200,131.5500
2023-07-31,318.6000,133.6800,196.4500,438.9700,132.7200
2023-07-28,325.4800,132.2100,195.8300,425.7800,132.5800
2023-07-27,311.7100,128.2500,193.2200,413.1700,129.4000
2023-07-26,298.5700,128.1500,194.5000,422.6700,129.2700
2023-07-25,294.4700,129.1300,193.6200,427.7000,122.2100
2023-07-24,291.6100,128.8000,192.7500,428.3700,121.5300
2023-07-21,294.2600,130.0000,191.9400,427.5000,120.0200
2023-07-20,302.5200,129.9600,193.1300,437.4200,119.2000
2023-07-19,316.0100,135.3600,195.1000,477.5900,122.0300
2023-07-18,312.0500,132.8300,193.7300,474.8000,123.7600
2023-07-17,310.6200,133.5600,193.9900,450.0500,124.6500
2023-07-14,308.8700,134.6800,190.6900,441.9100,125.4200
2023-07-13,313.4100,134.3000,190.5400,450.3800,124.5400
2023-07-12,309.3400,130.8000,189.7700,444.0500,118.9300
2023-07-11,298.2900,128.7800,188.0800,440.2100,117.1400
2023-07-10,294.1000,127.1300,188.6100,441.7100,116.4500
2023-07-07,290.5300,129.7800,190.6800,438.1000,119.4800
2023-07-06,291.9900,128.3600,191.8100,438.8400,120.1100
2023-07-05,294.3700,130.3800,191.3300,445.9000,121.7500
2023-07-03,286.0200,130.2200,192.4600,441.4400,119.9000
2023-06-30,286.9800,130.3600,193.9700,440.4900,119.7000
2023-06-29,281.5300,127.9000,189.5900,428.2400,119.1000
2023-06-28,285.2900,129.0400,189.2500,429.8400,120.1800
2023-06-27,287.0500,129.1800,188.0600,417.0800,118.3300
2023-06-26,278.4700,127.3300,185.2700,415.9400,118.3400
2023-06-23,288.7300,129.3300,186.6800,424.0200,122.3400
2023-06-22,284.8800,130.1500,187.0000,422.4800,123.1500
2023-06-21,281.6400,124.8300,183.9600,424.4500,120.5500
2023-06-20,284.3300,125.7800,185.0100,434.7000,123.1000
2023-06-16,281.0000,125.4900,184.9200,431.9600,123.5300
2023-06-15,281.8300,127.1100,186.0100,445.2700,125.0900
2023-06-14,273.3500,126.4200,183.9500,440.8600,123.6700
2023-06-13,271.3200,126.6600,183.3100,435.7300,123.8300
2023-06-12,271.0500,126.5700,183.7900,423.9700,123.6400
2023-06-09,264.9500,123.4300,180.9600,420.0200,122.2300
2023-06-08,264.5800,124.2500,180.5700,409.3700,122.1400
2023-06-07,263.6000,121.2300,177.8200,399.7700,122.5000
